variant,scope,bucket_count,bucket,groups,mean_excess_bps,mean_within_group_outcome_rank_pct,x
auction_multiden,pool_L,10,1,9690,10.55121207381312,0.49340418821215876,5.0
auction_multiden,pool_L,10,2,9690,2.4526611652771195,0.5024547755507761,15.0
auction_multiden,pool_L,10,3,9690,0.5343879914418164,0.5037500081438612,25.0
auction_multiden,pool_L,10,4,9690,-0.1706185678380983,0.5043044154656608,35.0
auction_multiden,pool_L,10,5,9690,-0.3586761433765714,0.5042816677677444,45.0
auction_multiden,pool_L,10,6,9690,-0.3380537760587043,0.5042441846258651,55.0
auction_multiden,pool_L,10,7,9690,-0.2624526706161765,0.5037282233142432,65.0
auction_multiden,pool_L,10,8,9690,-0.8643595098672676,0.5021266627382329,75.0
auction_multiden,pool_L,10,9,9690,-1.874474702575418,0.49878778268754437,85.0
auction_multiden,pool_L,10,10,9690,-9.696197549111323,0.48440864532761246,95.0
auction_multiden,pool_L,20,1,9690,14.654143570598457,0.4877096530495777,2.5
auction_multiden,pool_L,20,2,9690,6.436542981113575,0.49911549497955365,7.5
auction_multiden,pool_L,20,3,9690,3.180273316159615,0.5017096566738813,12.5
auction_multiden,pool_L,20,4,9690,1.7259847888056121,0.503200928929484,17.5
auction_multiden,pool_L,20,5,9690,0.7462056787593248,0.503547144616279,22.5
auction_multiden,pool_L,20,6,9690,0.32269789223345013,0.5039528526314342,27.5
auction_multiden,pool_L,20,7,9690,0.0836028104120208,0.5042402979670664,32.5
auction_multiden,pool_L,20,8,9690,-0.4253713586033916,0.5043677883556335,37.5
auction_multiden,pool_L,20,9,9690,-0.4360662074059786,0.5041306979882995,42.5
auction_multiden,pool_L,20,10,9690,-0.2806471541190006,0.5044330296520303,47.5
auction_multiden,pool_L,20,11,9690,-0.24673385544255014,0.5043911174730301,52.5
auction_multiden,pool_L,20,12,9690,-0.42944688336687753,0.5040973937541227,57.5
auction_multiden,pool_L,20,13,9690,-0.21274310948357178,0.5039407272919656,62.5
auction_multiden,pool_L,20,14,9690,-0.3119240719316491,0.5035158392145034,67.5
auction_multiden,pool_L,20,15,9690,-0.9736784249195332,0.502396971754457,72.5
auction_multiden,pool_L,20,16,9690,-0.754295646510088,0.5018572875435195,77.5
auction_multiden,pool_L,20,17,9690,-1.5608422645516253,0.49997216663789756,82.5
auction_multiden,pool_L,20,18,9690,-2.1882731171462724,0.49760225599445085,87.5
auction_multiden,pool_L,20,19,9690,-4.210257284150471,0.4927222813803661,92.5
auction_multiden,pool_L,20,20,9690,-15.199830421051935,0.47606845164592415,97.5
auction_multiden,pool_L,50,1,9690,19.320148747080037,0.4794372683563015,1.0
auction_multiden,pool_L,50,2,9690,12.512547985737353,0.49201868962884454,3.0
auction_multiden,pool_L,50,3,9690,8.51564996850629,0.4961526789583019,5.0
auction_multiden,pool_L,50,4,9690,7.136978145019606,0.4990918809363329,7.0
auction_multiden,pool_L,50,5,9690,5.197659533644877,0.500423889695028,9.0
auction_multiden,pool_L,50,6,9690,3.737796845107139,0.5010607760271866,11.0
auction_multiden,pool_L,50,7,9690,2.8510747717802976,0.5018543461812257,13.0
auction_multiden,pool_L,50,8,9690,2.771631773252197,0.5030676290963872,15.0
auction_multiden,pool_L,50,9,9690,1.9868669560227057,0.503319591275604,17.0
auction_multiden,pool_L,50,10,9690,0.9267613691098929,0.5029808507640716,19.0
auction_multiden,pool_L,50,11,9690,1.433692810043295,0.5034781972472718,21.0
auction_multiden,pool_L,50,12,9690,0.44582654568896035,0.5036419068045299,23.0
auction_multiden,pool_L,50,13,9690,0.32491616922100003,0.5036147990696896,25.0
auction_multiden,pool_L,50,14,9690,0.5975465302880472,0.5043941128108388,27.0
auction_multiden,pool_L,50,15,9690,-0.12330551169482756,0.5036296961072281,29.0
auction_multiden,pool_L,50,16,9690,0.14491544973175646,0.5039589523352818,31.0
auction_multiden,pool_L,50,17,9690,0.12207437822558574,0.504315420292841,33.0
auction_multiden,pool_L,50,18,9690,-0.22680531624551514,0.5044745187304843,35.0
auction_multiden,pool_L,50,19,9690,-0.4157792200160081,0.5046970771960797,37.0
auction_multiden,pool_L,50,20,9690,-0.4782667969275748,0.5040733857799694,39.0
auction_multiden,pool_L,50,21,9690,-0.2749345975954829,0.5041981733347201,41.0
auction_multiden,pool_L,50,22,9690,-0.760005207051361,0.5038957505961812,43.0
auction_multiden,pool_L,50,23,9690,-0.5235310140227959,0.503995721874804,45.0
auction_multiden,pool_L,50,24,9690,0.0114530446003588,0.5050328377082383,47.0
auction_multiden,pool_L,50,25,9690,-0.24643047238380858,0.5042860968256492,49.0
auction_multiden,pool_L,50,26,9690,-0.2998973018744066,0.5043060878926788,51.0
auction_multiden,pool_L,50,27,9690,-0.49172758546729317,0.5042391436249997,53.0
auction_multiden,pool_L,50,28,9690,0.16860614642545274,0.5046950655397661,55.0
auction_multiden,pool_L,50,29,9690,-0.6349797343262448,0.5039839889556402,57.0
auction_multiden,pool_L,50,30,9690,-0.4335010857349951,0.503996245348953,59.0
auction_multiden,pool_L,50,31,9690,-0.4639570959676141,0.5039529362884034,61.0
auction_multiden,pool_L,50,32,9690,-0.09864380573680487,0.5038586769333704,63.0
auction_multiden,pool_L,50,33,9690,-0.03528472676463094,0.5037529511924386,65.0
auction_multiden,pool_L,50,34,9690,-0.44208104623790745,0.503640331725037,67.0
auction_multiden,pool_L,50,35,9690,-0.27699621506802274,0.5034315631019984,69.0
auction_multiden,pool_L,50,36,9690,-0.8158381974736092,0.5028768998706642,71.0
auction_multiden,pool_L,50,37,9690,-0.9191581145600914,0.5025132850571471,73.0
auction_multiden,pool_L,50,38,9690,-0.4638846897943501,0.502198893158186,75.0
auction_multiden,pool_L,50,39,9690,-1.0400030228068127,0.5019425329121726,77.0
auction_multiden,pool_L,50,40,9690,-1.0858252060780063,0.5011011289329019,79.0
auction_multiden,pool_L,50,41,9690,-1.2768195672660612,0.5004869385297595,81.0
auction_multiden,pool_L,50,42,9690,-1.5995127582802158,0.5000355239673523,83.0
auction_multiden,pool_L,50,43,9690,-2.101430602323741,0.4987931114056028,85.0
auction_multiden,pool_L,50,44,9690,-1.8351873065620068,0.49836410767194517,87.0
auction_multiden,pool_L,50,45,9690,-2.561502216054572,0.49625632892814314,89.0
auction_multiden,pool_L,50,46,9690,-3.450125460847353,0.49436888258935285,91.0
auction_multiden,pool_L,50,47,9690,-4.46625349716211,0.4922779886476575,93.0
auction_multiden,pool_L,50,48,9690,-5.753878913099321,0.48927116361732836,95.0
auction_multiden,pool_L,50,49,9690,-8.804980346228021,0.4839415605215386,97.0
auction_multiden,pool_L,50,50,9690,-26.1300425824135,0.46201430633922713,99.0
auction_multiden,top1000,10,1,9690,17.171402271124183,0.4837468173374613,50.0
auction_multiden,top1000,10,2,9690,9.683144900060885,0.4962380185758514,150.0
auction_multiden,top1000,10,3,9690,6.577648663369381,0.5001088617131063,250.0
auction_multiden,top1000,10,4,9690,4.1469340016975424,0.5017121222910217,350.0
auction_multiden,top1000,10,5,9690,2.793644503643204,0.5026585123839009,450.0
auction_multiden,top1000,10,6,9690,2.1270042576979,0.5038979365325078,550.0
auction_multiden,top1000,10,7,9690,1.418438717854867,0.5040547373581011,650.0
auction_multiden,top1000,10,8,9690,0.7805178931607804,0.5039243008255934,750.0
auction_multiden,top1000,10,9,9690,-0.015156598349725707,0.5040992657378741,850.0
auction_multiden,top1000,10,10,9690,0.29272864821261346,0.504559427244582,950.0
auction_multiden,top1000,20,1,9690,20.46013138004516,0.47774548710010317,25.0
auction_multiden,top1000,20,2,9690,13.882673162203211,0.48974814757481944,75.0
auction_multiden,top1000,20,3,9690,11.276645979790862,0.4952798544891641,125.0
auction_multiden,top1000,20,4,9690,8.08964382033091,0.4971961826625387,175.0
auction_multiden,top1000,20,5,9690,7.161554181390769,0.49964965428276575,225.0
auction_multiden,top1000,20,6,9690,5.993743145347993,0.5005680691434469,275.0
auction_multiden,top1000,20,7,9690,4.476931764012337,0.5013432559339526,325.0
auction_multiden,top1000,20,8,9690,3.8169362393827493,0.5020809886480908,375.0
auction_multiden,top1000,20,9,9690,2.8093808179610664,0.5023169938080496,425.0
auction_multiden,top1000,20,10,9690,2.7779081893253417,0.5030000309597523,475.0
auction_multiden,top1000,20,11,9690,2.828735817965808,0.5044358028895769,525.0
auction_multiden,top1000,20,12,9690,1.4252726974299923,0.5033600701754386,575.0
auction_multiden,top1000,20,13,9690,1.1291413282469869,0.5033666759545924,625.0
auction_multiden,top1000,20,14,9690,1.707736107462747,0.50474279876161,675.0
auction_multiden,top1000,20,15,9690,0.6628677404150419,0.5035170350877193,725.0
auction_multiden,top1000,20,16,9690,0.8981680459065189,0.5043315665634676,775.0
auction_multiden,top1000,20,17,9690,-0.06954258869654933,0.5041453766769866,825.0
auction_multiden,top1000,20,18,9690,0.0392293919970978,0.5040531547987616,875.0
auction_multiden,top1000,20,19,9690,0.20631144352780564,0.5047264169246646,925.0
auction_multiden,top1000,20,20,9690,0.3791458528974213,0.5043924375644995,975.0
auction_multiden,top1000,50,1,9690,22.627285941612882,0.4694856191950465,10.0
auction_multiden,top1000,50,2,9690,19.85911115631192,0.48176871259029924,30.0
auction_multiden,top1000,50,3,9690,16.508635397281072,0.486460379256966,50.0
auction_multiden,top1000,50,4,9690,14.57146392978632,0.48974212332301337,70.0
auction_multiden,top1000,50,5,9690,12.290514930628731,0.4912772523219814,90.0
auction_multiden,top1000,50,6,9690,12.856452118064215,0.49484257481940147,110.0
auction_multiden,top1000,50,7,9690,10.500255640147378,0.49520967492260065,130.0
auction_multiden,top1000,50,8,9690,10.206164438314245,0.4966882920536636,150.0
auction_multiden,top1000,50,9,9690,6.550294563467613,0.49596407120743036,170.0
auction_multiden,top1000,50,10,9690,8.30255774031098,0.498485479876161,190.0
auction_multiden,top1000,50,11,9690,7.593462216413515,0.49965553663570694,210.0
auction_multiden,top1000,50,12,9690,6.519596454436567,0.49931118421052634,230.0
auction_multiden,top1000,50,13,9690,6.675790948832704,0.499635092879257,250.0
auction_multiden,top1000,50,14,9690,7.9014694409902555,0.5019942647058824,270.0
auction_multiden,top1000,50,15,9690,4.197924256173864,0.4999482301341589,290.0
auction_multiden,top1000,50,16,9690,4.761763774230297,0.5012228766769866,310.0
auction_multiden,top1000,50,17,9690,4.2788193634086955,0.5011643240454077,330.0
auction_multiden,top1000,50,18,9690,4.8491220014441945,0.5022147807017544,350.0
auction_multiden,top1000,50,19,9690,3.937969038564037,0.5026196878224974,370.0
auction_multiden,top1000,50,20,9690,2.906995830840492,0.5013389422084624,390.0
auction_multiden,top1000,50,21,9690,3.2219535557681476,0.5018978070175439,410.0
auction_multiden,top1000,50,22,9690,3.3256701232670927,0.5029310371517027,430.0
auction_multiden,top1000,50,23,9690,0.9705282984556989,0.5017889963880289,450.0
auction_multiden,top1000,50,24,9690,3.8050848491517106,0.5032789628482972,470.0
auction_multiden,top1000,50,25,9690,2.6449856915733707,0.5033957585139319,490.0
auction_multiden,top1000,50,26,9690,2.001367070159967,0.5034225773993808,510.0
auction_multiden,top1000,50,27,9690,2.8957620474292565,0.5046041744066048,530.0
auction_multiden,top1000,50,28,9690,3.557412756706999,0.5049419478844169,550.0
auction_multiden,top1000,50,29,9690,1.0375777368228916,0.5033829463364293,570.0
auction_multiden,top1000,50,30,9690,1.142901677370386,0.5031380366357069,590.0
auction_multiden,top1000,50,31,9690,1.2477115154764236,0.5029988906088751,610.0
auction_multiden,top1000,50,32,9690,1.0165116380415429,0.5033739551083591,630.0
auction_multiden,top1000,50,33,9690,1.663375606893784,0.5046519969040247,650.0
auction_multiden,top1000,50,34,9690,1.270641037536607,0.5040432069143447,670.0
auction_multiden,top1000,50,35,9690,1.8939537913259772,0.505205637254902,690.0
auction_multiden,top1000,50,36,9690,0.2998692014580564,0.503140988132095,710.0
auction_multiden,top1000,50,37,9690,0.9461199594340441,0.5037381965944273,730.0
auction_multiden,top1000,50,38,9690,0.6618140034886413,0.5036434339525283,750.0
auction_multiden,top1000,50,39,9690,0.5849085908201965,0.5038485629514964,770.0
auction_multiden,top1000,50,40,9690,1.4098777106029636,0.50525032249742,790.0
