scope,condition,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
published_top100,entry_within_100bps,9690,3333.894427244582,100.0,1.4794633642930857,0.16862745098039217,0.04437643112520038,0.16862745098039214,3.7999326828387603,10.731352129730016,0.01809600555209377,11.244982812500472,28.416385083624665,17.171402271124183,28.438469803165194,17.19348699066472,17.20953291915355,0.022084719540536923
published_top100,entry_within_200bps,9690,3333.894427244582,100.0,3.6126934984520123,0.6330237358101135,0.10836256448101908,0.6330237358101135,5.84171977510734,17.454479502063343,0.11049099821017189,11.244982812500472,28.416385083624665,17.171402271124183,28.436070075839787,17.191087263339313,17.211180052431388,0.019684992215129427
published_top100,daily_closes_up_limit,9690,3333.894427244582,100.0,25.793498452012383,4.67719298245614,0.7736747223075794,4.67719298245614,6.045425613112758,830.5697129013007,38.84734832622574,11.244982812500472,28.416385083624665,17.171402271124183,-7.788127272580439,-19.033110085080917,-12.058573085615608,-36.2045123562051
published_top100,daily_up_limit_not_current_within_100bps,9690,3333.894427244582,100.0,24.99143446852425,4.589370485036119,0.7496168524202288,4.589370485036119,6.122288299974556,841.3679619344548,38.61349291556981,11.244982812500472,28.416385083624665,17.171402271124183,-7.563322313146204,-18.80830512564668,-11.908151584378892,-35.97970739677086
scoreable_pool,decision_no_offer,9690,3333.894427244582,100.0,0.07729618163054695,0.00010319917440660474,0.002318495180857637,0.00010319917440660476,0.04451127406201045,-344.0516719095832,-0.0003550584849428103,11.244982812500472,28.416385083624665,17.171402271124183,28.41711560729504,17.172132794794567,17.170998263711027,0.0007305236703842866
scoreable_pool,decision_at_limit,9690,3333.894427244582,100.0,0.18121775025799794,0.0009287925696594427,0.0054356175401682385,0.0009287925696594427,0.17087158226196603,-51.79507519402697,-0.00048106880985164367,11.244982812500472,28.416385083624665,17.171402271124183,28.417187681409203,17.172204868908725,17.17027171764851,0.0008025977845420584
scoreable_pool,decision_at_limit_with_offer,9690,3333.894427244582,100.0,0.1045407636738906,0.000825593395252838,0.003135695084390903,0.0008255933952528381,0.26328879978239544,-15.26300060458244,-0.0001260103249088334,11.244982812500472,28.416385083624665,17.171402271124183,28.416457157738822,17.171474345238344,17.170762776194223,7.207411416132459e-05
scoreable_pool,decision_sealed_at_limit,9690,3333.894427244582,100.0,0.07667698658410732,0.00010319917440660474,0.0022999224557773354,0.00010319917440660476,0.04487071907462426,-344.0516719095832,-0.0003550584849428103,11.244982812500472,28.416385083624665,17.171402271124183,28.41711560729504,17.172132794794567,17.17090120168096,0.0007305236703842866
scoreable_pool,touched_limit_by_decision,9690,3333.894427244582,100.0,4.485139318885449,0.6826625386996904,0.1345315341191639,0.6826625386996904,5.07436820050687,-68.10616316487642,-0.4649352624722987,11.244982812500472,28.416385083624665,17.171402271124183,28.743452177998872,17.498469365498398,17.525392380557133,0.32706709437421466
scoreable_pool,touched_limit_but_opened,9690,3333.894427244582,100.0,4.303921568627451,0.6817337461300309,0.12909591657899566,0.6817337461300309,5.2808312160119195,-68.12838535557239,-0.46445419366244706,11.244982812500472,28.416385083624665,17.171402271124183,28.743780961946694,17.49879814944622,17.52323597024922,0.32739587832203654
scoreable_pool,decision_within_10bps,9690,3333.894427244582,100.0,0.34530443756449947,0.0025799793601651187,0.010357389686448136,0.0025799793601651187,0.24909551907087432,-78.44410337701592,-0.0020238416763935997,11.244982812500472,28.416385083624665,17.171402271124183,28.41890015032739,17.173917337826907,17.17792500118792,0.002515066702724056
scoreable_pool,decision_within_25bps,9690,3333.894427244582,100.0,0.5139318885448917,0.007223942208462332,0.015415361816650245,0.007223942208462333,0.4686196986086762,-21.862264525121,-0.0015793173547559033,11.244982812500472,28.416385083624665,17.171402271124183,28.419498122284853,17.174515309784372,17.180542405219494,0.0031130386601887494
scoreable_pool,decision_within_50bps,9690,3333.894427244582,100.0,0.8251805985552115,0.03281733746130031,0.024751251623681796,0.032817337461300305,1.3258859778186305,47.39056383839465,0.01555232125965892,11.244982812500472,28.416385083624665,17.171402271124183,28.402436274796923,17.15745346229645,17.167352416308702,-0.013948808827734638
scoreable_pool,decision_within_100bps,9690,3333.894427244582,100.0,1.55015479876161,0.13023735810113518,0.046496817238534806,0.1302373581011352,2.800995118289503,41.406876112059464,0.053927221520556276,11.244982812500472,28.416385083624665,17.171402271124183,28.391025374694443,17.146042562193973,17.16187554512899,-0.025359708930210445
scoreable_pool,decision_within_200bps,9690,3333.894427244582,100.0,3.652734778121775,0.5541795665634675,0.10956360070287859,0.5541795665634675,5.058062741715894,15.812373056241293,0.08762894046647654,11.244982812500472,28.416385083624665,17.171402271124183,28.470130880186595,17.22514806768612,17.24363623955808,0.05374579656193745
scoreable_pool,entry_no_offer,9690,3333.894427244582,100.0,0.0,0.0,0.0,0.0,,,0.0,11.244982812500472,28.416385083624665,17.171402271124183,28.416385083624665,17.171402271124183,17.171402271124183,0.0
scoreable_pool,entry_at_limit_with_offer,9690,3333.894427244582,100.0,0.18937048503611972,0.004850361197110423,0.005680158420392208,0.004850361197110423,0.853913014062645,-154.93121753631607,-0.007514723657592214,11.244982812500472,28.416385083624665,17.171402271124183,28.422652682034006,17.177669869533528,17.1785100391738,0.006267598409344544
scoreable_pool,entry_within_50bps,9690,3333.894427244582,100.0,0.7606811145510836,0.0564499484004128,0.022816592761150393,0.0564499484004128,2.4740744155511956,8.422219801381837,0.004754338732049393,11.244982812500472,28.416385083624665,17.171402271124183,28.432806637108165,17.187823824607687,17.19931252188047,0.016421553483503715
scoreable_pool,entry_within_100bps,9690,3333.894427244582,100.0,1.4794633642930857,0.16862745098039217,0.04437643112520038,0.16862745098039214,3.7999326828387603,10.731352129730016,0.01809600555209377,11.244982812500472,28.416385083624665,17.171402271124183,28.438469803165194,17.19348699066472,17.20953291915355,0.022084719540536923
scoreable_pool,entry_within_200bps,9690,3333.894427244582,100.0,3.6126934984520123,0.6330237358101135,0.10836256448101908,0.6330237358101135,5.84171977510734,17.454479502063343,0.11049099821017189,11.244982812500472,28.416385083624665,17.171402271124183,28.436070075839787,17.191087263339313,17.211180052431388,0.019684992215129427
scoreable_pool,daily_closes_up_limit,9690,3333.894427244582,100.0,25.793498452012383,4.67719298245614,0.7736747223075794,4.67719298245614,6.045425613112758,830.5697129013007,38.84734832622574,11.244982812500472,28.416385083624665,17.171402271124183,-7.788127272580439,-19.033110085080917,-12.058573085615608,-36.2045123562051
scoreable_pool,daily_up_limit_not_current_within_100bps,9690,3333.894427244582,100.0,24.99143446852425,4.589370485036119,0.7496168524202288,4.589370485036119,6.122288299974556,841.3679619344548,38.61349291556981,11.244982812500472,28.416385083624665,17.171402271124183,-7.563322313146204,-18.80830512564668,-11.908151584378892,-35.97970739677086
